site,run,average_precision,roc_auc,median_abs_timing_error_days
Chemainus,env_only,0.03387019663929697,0.5202020202020202,9.0
Chemainus,env_plus_doy,0.0425764922020201,0.5718756716097141,6.5
Chemainus,doy_only,0.05384005210574718,0.690522243713733,8.0
Chemainus,baseline,,,15.0
Nanaimo,env_only,0.039079543693426866,0.6363798802823193,7.5
Nanaimo,env_plus_doy,0.08014700148508973,0.813544179397838,4.0
Nanaimo,doy_only,0.117360080213155,0.7485705351559011,1.0
Nanaimo,baseline,,,6.0
Cowichan,env_only,0.07598235614868322,0.7200522047170691,7.0
Cowichan,env_plus_doy,0.1496313698011231,0.9168453435256828,1.0
Cowichan,doy_only,0.12694214394118788,0.835788198005034,2.0
Cowichan,baseline,,,4.0
Little Qualicum,env_only,0.04925498408777654,0.6081118783566994,7.0
Little Qualicum,env_plus_doy,0.05961858192288555,0.759712631652368,5.0
Little Qualicum,doy_only,0.07982934475724568,0.8051370579619166,10.0
Little Qualicum,baseline,,,9.0
