WATERBODY,ANALYSIS_YR,SPECIES,RUN_TYPE,TOTAL_RETURN_TO_RIVER,START_DTT,STREAM_ARRIVAL_DT_FROM,time_return
CHEMAINUS RIVER,2024,Chinook,FALL,1204.0,2024-10-04,,2024-10-04
CHEMAINUS RIVER,2023,Chinook,FALL,437.0,2023-10-06,,2023-10-06
CHEMAINUS RIVER,2022,Chinook,FALL,77.0,2022-09-16,,2022-09-16
CHEMAINUS RIVER,2020,Chinook,FALL,45.0,2020-09-10,,2020-09-10
CHEMAINUS RIVER,2018,Chinook,FALL,222.0,2018-09-28,,2018-09-28
CHEMAINUS RIVER,2015,Chinook,FALL,98.0,2015-09-16,,2015-09-16
CHEMAINUS RIVER,2011,Chinook,FALL,1301.0,2011-10-28,,2011-10-28
CHEMAINUS RIVER,2009,Chinook,FALL,57.0,2009-10-08,,2009-10-08
CHEMAINUS RIVER,2008,Chinook,FALL,61.0,2008-09-04,,2008-09-04
CHEMAINUS RIVER,2007,Chinook,FALL,40.0,2007-09-06,,2007-09-06
CHEMAINUS RIVER,2006,Chinook,FALL,244.0,2006-09-05,,2006-09-05
CHEMAINUS RIVER,2005,Chinook,FALL,529.0,2005-10-05,,2005-10-05
CHEMAINUS RIVER,2004,Chinook,FALL,287.0,2004-09-08,2004-08-20,2004-08-20
CHEMAINUS RIVER,2002,Chinook,FALL,475.0,2002-08-07,,2002-08-07
CHEMAINUS RIVER,1999,Chinook,FALL,160.0,1999-08-19,,1999-08-19
CHEMAINUS RIVER,1996,Chinook,FALL,800.0,,1996-10-13,1996-10-13
CHEMAINUS RIVER,1995,Chinook,FALL,580.0,1995-09-29,,1995-09-29
CHEMAINUS RIVER,1994,Chinook,FALL,225.0,,1994-08-20,1994-08-20
CHEMAINUS RIVER,1993,Chinook,FALL,900.0,1993-07-18,,1993-07-18
CHEMAINUS RIVER,1992,Chinook,FALL,1000.0,1992-09-06,1992-08-20,1992-08-20
CHEMAINUS RIVER,1991,Chinook,FALL,2000.0,1991-09-19,1991-09-01,1991-09-01
CHEMAINUS RIVER,1990,Chinook,FALL,1000.0,1990-09-20,1990-08-25,1990-08-25
CHEMAINUS RIVER,1989,Chinook,FALL,587.0,1989-09-25,1989-08-25,1989-08-25
CHEMAINUS RIVER,1988,Chinook,FALL,300.0,1988-09-11,1988-09-25,1988-09-25
CHEMAINUS RIVER,1987,Chinook,FALL,200.0,1987-09-10,1987-10-01,1987-10-01
CHEMAINUS RIVER,1986,Chinook,FALL,200.0,1986-09-01,1986-08-15,1986-08-15
CHEMAINUS RIVER,1985,Chinook,FALL,600.0,1985-09-01,,1985-09-01
CHEMAINUS RIVER,1984,Chinook,FALL,275.0,1984-08-30,1984-08-25,1984-08-25
CHEMAINUS RIVER,1983,Chinook,FALL,350.0,1983-09-01,1983-09-01,1983-09-01
CHEMAINUS RIVER,1982,Chinook,FALL,750.0,1982-10-01,1982-09-01,1982-09-01
CHEMAINUS RIVER,1981,Chinook,FALL,1750.0,1981-06-01,1981-08-05,1981-08-05
CHEMAINUS RIVER,1980,Chinook,FALL,90.0,1980-06-01,1980-08-05,1980-08-05
CHEMAINUS RIVER,1979,Chinook,FALL,225.0,1979-09-01,1979-08-25,1979-08-25
CHEMAINUS RIVER,1978,Chinook,FALL,261.0,1978-09-01,1978-08-07,1978-08-07
CHEMAINUS RIVER,1977,Chinook,FALL,150.0,1977-05-01,1977-09-10,1977-09-10
CHEMAINUS RIVER,1976,Chinook,FALL,60.0,1976-05-01,1976-09-08,1976-09-08
CHEMAINUS RIVER,1975,Chinook,FALL,20.0,1975-05-01,1975-09-25,1975-09-25
CHEMAINUS RIVER,1974,Chinook,FALL,40.0,1974-08-01,1974-09-13,1974-09-13
CHEMAINUS RIVER,1973,Chinook,FALL,65.0,1973-08-01,1973-08-28,1973-08-28
CHEMAINUS RIVER,1972,Chinook,FALL,60.0,1972-07-15,1972-09-02,1972-09-02
CHEMAINUS RIVER,1971,Chinook,FALL,30.0,1971-07-15,1971-09-09,1971-09-09
CHEMAINUS RIVER,1970,Chinook,FALL,16.0,1970-09-15,1970-09-22,1970-09-22
CHEMAINUS RIVER,1969,Chinook,FALL,20.0,1969-09-15,1969-09-10,1969-09-10
CHEMAINUS RIVER,1968,Chinook,FALL,100.0,,1968-09-15,1968-09-15
CHEMAINUS RIVER,1967,Chinook,FALL,50.0,,1967-09-15,1967-09-15
CHEMAINUS RIVER,1962,Chinook,FALL,25.0,1962-09-15,,1962-09-15
