WATERBODY,ANALYSIS_YR,SPECIES,RUN_TYPE,TOTAL_RETURN_TO_RIVER,START_DTT,STREAM_ARRIVAL_DT_FROM,time_return
COWICHAN RIVER,2025,Chinook,FALL,51209.0,2025-09-08,,2025-09-08
COWICHAN RIVER,2024,Chinook,FALL,42569.0,2024-09-06,,2024-09-06
COWICHAN RIVER,2023,Chinook,FALL,35324.0,2023-09-08,,2023-09-08
COWICHAN RIVER,2022,Chinook,FALL,28736.0,2022-09-09,,2022-09-09
COWICHAN RIVER,2021,Chinook,FALL,23745.0,2021-09-08,,2021-09-08
COWICHAN RIVER,2020,Chinook,FALL,24726.0,2020-09-10,,2020-09-10
COWICHAN RIVER,2019,Chinook,FALL,21591.0,2019-09-09,,2019-09-09
COWICHAN RIVER,2018,Chinook,FALL,22482.0,2018-09-07,,2018-09-07
COWICHAN RIVER,2017,Chinook,FALL,25060.0,2017-09-14,,2017-09-14
COWICHAN RIVER,2016,Chinook,FALL,10854.0,2016-09-19,2016-09-01,2016-09-01
COWICHAN RIVER,2015,Chinook,FALL,7219.0,2015-09-17,,2015-09-17
COWICHAN RIVER,2014,Chinook,FALL,5873.0,2014-09-16,,2014-09-16
COWICHAN RIVER,2012,Chinook,FALL,6330.0,2012-09-05,2012-08-15,2012-08-15
COWICHAN RIVER,2011,Chinook,FALL,5756.0,2011-09-07,,2011-09-07
COWICHAN RIVER,2010,Chinook,FALL,4936.0,2010-09-07,2010-09-01,2010-09-01
COWICHAN RIVER,2009,Chinook,FALL,1571.0,2009-09-09,,2009-09-09
COWICHAN RIVER,2005,Chinook,FALL,4309.0,2005-09-12,,2005-09-12
COWICHAN RIVER,2002,Chinook,FALL,5785.0,2002-09-03,2002-09-03,2002-09-03
