WATERBODY,ANALYSIS_YR,SPECIES,RUN_TYPE,TOTAL_RETURN_TO_RIVER,START_DTT,STREAM_ARRIVAL_DT_FROM,time_return
LITTLE QUALICUM RIVER,2025,Chinook,FALL,7755.0,2025-09-05,,2025-09-05
LITTLE QUALICUM RIVER,2024,Chinook,FALL,7924.0,2024-08-29,,2024-08-29
LITTLE QUALICUM RIVER,2023,Chinook,FALL,7868.0,2023-09-18,,2023-09-18
LITTLE QUALICUM RIVER,2022,Chinook,FALL,9359.0,2022-09-14,,2022-09-14
LITTLE QUALICUM RIVER,2021,Chinook,FALL,10074.0,2021-09-16,,2021-09-16
LITTLE QUALICUM RIVER,2020,Chinook,FALL,10360.0,2020-09-10,,2020-09-10
LITTLE QUALICUM RIVER,2019,Chinook,FALL,10250.0,2019-09-12,,2019-09-12
LITTLE QUALICUM RIVER,2018,Chinook,FALL,4411.0,2018-09-17,,2018-09-17
LITTLE QUALICUM RIVER,2017,Chinook,FALL,7222.0,2017-09-13,,2017-09-13
LITTLE QUALICUM RIVER,2016,Chinook,FALL,5641.0,2016-10-06,,2016-10-06
LITTLE QUALICUM RIVER,2015,Chinook,FALL,2434.0,2015-10-14,,2015-10-14
LITTLE QUALICUM RIVER,2014,Chinook,FALL,3959.0,2014-10-06,,2014-10-06
LITTLE QUALICUM RIVER,2013,Chinook,FALL,4116.0,2013-10-15,,2013-10-15
LITTLE QUALICUM RIVER,2012,Chinook,FALL,2526.0,2012-10-03,,2012-10-03
LITTLE QUALICUM RIVER,2011,Chinook,FALL,3829.0,2011-10-05,,2011-10-05
LITTLE QUALICUM RIVER,2009,Chinook,FALL,4800.0,2009-10-07,,2009-10-07
LITTLE QUALICUM RIVER,2008,Chinook,FALL,4436.0,2008-09-11,,2008-09-11
LITTLE QUALICUM RIVER,2004,Chinook,FALL,4290.0,2004-10-20,,2004-10-20
LITTLE QUALICUM RIVER,2003,Chinook,FALL,4777.0,2003-10-09,,2003-10-09
LITTLE QUALICUM RIVER,1998,Chinook,FALL,3031.0,1998-09-01,1998-09-11,1998-09-11
LITTLE QUALICUM RIVER,1997,Chinook,FALL,3892.0,1997-07-01,,1997-07-01
LITTLE QUALICUM RIVER,1996,Chinook,FALL,3408.0,1996-08-01,1996-09-01,1996-09-01
LITTLE QUALICUM RIVER,1995,Chinook,FALL,3770.0,1995-08-15,,1995-08-15
LITTLE QUALICUM RIVER,1994,Chinook,FALL,3424.0,1994-08-01,,1994-08-01
LITTLE QUALICUM RIVER,1993,Chinook,FALL,4969.0,1993-08-01,,1993-08-01
LITTLE QUALICUM RIVER,1990,Chinook,FALL,3662.0,,1990-09-20,1990-09-20
LITTLE QUALICUM RIVER,1989,Chinook,FALL,470.0,,1989-09-20,1989-09-20
LITTLE QUALICUM RIVER,1988,Chinook,FALL,225.0,,1988-09-20,1988-09-20
LITTLE QUALICUM RIVER,1987,Chinook,FALL,375.0,,1987-09-28,1987-09-28
LITTLE QUALICUM RIVER,1986,Chinook,FALL,1675.0,,1986-09-25,1986-09-25
LITTLE QUALICUM RIVER,1985,Chinook,FALL,4649.0,,1985-09-01,1985-09-01
LITTLE QUALICUM RIVER,1984,Chinook,FALL,3000.0,,1984-09-01,1984-09-01
LITTLE QUALICUM RIVER,1983,Chinook,FALL,3000.0,,1983-08-01,1983-08-01
LITTLE QUALICUM RIVER,1982,Chinook,FALL,1083.0,,1982-08-01,1982-08-01
LITTLE QUALICUM RIVER,1981,Chinook,FALL,10.0,,1981-08-01,1981-08-01
LITTLE QUALICUM RIVER,1978,Chinook,FALL,30.0,,1978-07-01,1978-07-01
LITTLE QUALICUM RIVER,1977,Chinook,FALL,75.0,,1977-09-05,1977-09-05
LITTLE QUALICUM RIVER,1976,Chinook,FALL,400.0,,1976-09-05,1976-09-05
LITTLE QUALICUM RIVER,1975,Chinook,FALL,200.0,,1975-09-01,1975-09-01
LITTLE QUALICUM RIVER,1974,Chinook,FALL,200.0,,1974-09-01,1974-09-01
LITTLE QUALICUM RIVER,1973,Chinook,FALL,400.0,,1973-09-01,1973-09-01
LITTLE QUALICUM RIVER,1972,Chinook,FALL,400.0,,1972-09-15,1972-09-15
LITTLE QUALICUM RIVER,1971,Chinook,FALL,750.0,,1971-09-15,1971-09-15
LITTLE QUALICUM RIVER,1969,Chinook,FALL,400.0,,1969-09-15,1969-09-15
LITTLE QUALICUM RIVER,1968,Chinook,FALL,425.0,,1968-09-05,1968-09-05
LITTLE QUALICUM RIVER,1967,Chinook,FALL,350.0,,1967-09-10,1967-09-10
LITTLE QUALICUM RIVER,1953,Chinook,FALL,750.0,1953-08-15,,1953-08-15
