WATERBODY,ANALYSIS_YR,SPECIES,RUN_TYPE,TOTAL_RETURN_TO_RIVER,START_DTT,STREAM_ARRIVAL_DT_FROM,time_return
NANAIMO RIVER,2024,Chinook,FALL,7501.0,2024-09-09,,2024-09-09
NANAIMO RIVER,2022,Chinook,FALL,15074.0,2022-09-07,,2022-09-07
NANAIMO RIVER,2021,Chinook,FALL,7948.0,2021-09-08,,2021-09-08
NANAIMO RIVER,2020,Chinook,FALL,7016.0,2020-09-09,,2020-09-09
NANAIMO RIVER,2019,Chinook,FALL,5142.0,2019-09-09,,2019-09-09
NANAIMO RIVER,2018,Chinook,FALL,4074.0,2018-09-04,,2018-09-04
NANAIMO RIVER,2017,Chinook,FALL,4211.0,2018-02-21,,2018-02-21
NANAIMO RIVER,2016,Chinook,FALL,4964.0,2016-09-06,,2016-09-06
NANAIMO RIVER,2015,Chinook,FALL,5023.0,2015-09-09,,2015-09-09
NANAIMO RIVER,2014,Chinook,FALL,2169.0,2014-09-17,,2014-09-17
NANAIMO RIVER,2013,Chinook,FALL,4148.0,2013-09-03,,2013-09-03
NANAIMO RIVER,2012,Chinook,FALL,1714.0,2012-08-27,,2012-08-27
NANAIMO RIVER,2011,Chinook,FALL,4990.0,2011-08-24,,2011-08-24
NANAIMO RIVER,2010,Chinook,FALL,3241.0,2010-08-30,,2010-08-30
NANAIMO RIVER,2009,Chinook,FALL,2549.0,2009-08-31,,2009-08-31
NANAIMO RIVER,2008,Chinook,FALL,4096.0,2008-08-25,,2008-08-25
NANAIMO RIVER,2007,Chinook,FALL,4522.0,2007-08-27,,2007-08-27
NANAIMO RIVER,2006,Chinook,FALL,5305.0,2006-09-07,,2006-09-07
NANAIMO RIVER,2005,Chinook,FALL,2920.0,2005-08-29,,2005-08-29
NANAIMO RIVER,2004,Chinook,FALL,2450.0,2004-09-09,,2004-09-09
NANAIMO RIVER,2003,Chinook,FALL,2330.0,2003-09-08,2003-09-12,2003-09-12
NANAIMO RIVER,1994,Chinook,FALL,940.0,1994-08-30,1994-08-30,1994-08-30
NANAIMO RIVER,1993,Chinook,FALL,740.0,1993-01-04,,1993-01-04
NANAIMO RIVER,1990,Chinook,FALL,1720.0,1990-05-01,1990-08-29,1990-08-29
NANAIMO RIVER,1989,Chinook,FALL,2550.0,1989-08-08,1989-08-03,1989-08-03
NANAIMO RIVER,1988,Chinook,FALL,1755.0,1988-09-08,,1988-09-08
NANAIMO RIVER,1987,Chinook,FALL,618.0,1987-08-19,,1987-08-19
NANAIMO RIVER,1986,Chinook,FALL,715.0,1986-07-25,,1986-07-25
NANAIMO RIVER,1984,Chinook,FALL,2423.0,1984-10-01,,1984-10-01
NANAIMO RIVER,1979,Chinook,FALL,2520.0,1979-03-01,,1979-03-01
