region,species_name,year,spawners,smoothedspawners,spawnersanomaly,runsize,smoothedrunsize,runsizeanomaly,spawners_short_trend,spawners_short_trend_lwr,spawners_short_trend_upr,spawners_long_trend,spawners_long_trend_lwr,spawners_long_trend_upr,runsize_short_trend,runsize_short_trend_lwr,runsize_short_trend_upr,runsize_long_trend,runsize_long_trend_lwr,runsize_long_trend_upr,source_id,datasetversion
Central Coast,Chinook,1975,6750,6750,-59.4,-989898,-989898,-989898,-989898,-989898,-989898,12246,10389,14435,-989898,-989898,-989898,-989898,-989898,-989898,CTC_20250714,20251112
Central Coast,Chinook,1976,13300,9475,-43,-989898,-989898,-989898,-989898,-989898,-989898,12385,10559,14526,-989898,-989898,-989898,-989898,-989898,-989898,CTC_20250714,20251112
Central Coast,Chinook,1977,12750,10461,-37,-989898,-989898,-989898,-989898,-989898,-989898,12525,10731,14619,-989898,-989898,-989898,-989898,-989898,-989898,CTC_20250714,20251112
Central Coast,Chinook,1978,16000,11633,-30,-989898,-989898,-989898,-989898,-989898,-989898,12667,10905,14713,-989898,-989898,-989898,-989898,-989898,-989898,CTC_20250714,20251112
Central Coast,Chinook,1979,6100,10224,-38.5,-989898,-989898,-989898,-989898,-989898,-989898,12810,11082,14809,-989898,-989898,-989898,-989898,-989898,-989898,CTC_20250714,20251112
Central Coast,Chinook,1980,8480,10701,-35.6,-989898,-989898,-989898,-989898,-989898,-989898,12956,11260,14907,-989898,-989898,-989898,-989898,-989898,-989898,CTC_20250714,20251112
Central Coast,Chinook,1981,7150,9452,-43.1,-989898,-989898,-989898,-989898,-989898,-989898,13102,11440,15006,-989898,-989898,-989898,-989898,-989898,-989898,CTC_20250714,20251112
Central Coast,Chinook,1982,8900,8796,-47.1,-989898,-989898,-989898,-989898,-989898,-989898,13251,11622,15108,-989898,-989898,-989898,-989898,-989898,-989898,CTC_20250714,20251112
Central Coast,Chinook,1983,10890,8145,-51,-989898,-989898,-989898,-989898,-989898,-989898,13401,11805,15212,-989898,-989898,-989898,-989898,-989898,-989898,CTC_20250714,20251112
Central Coast,Chinook,1984,15113,9766,-41.2,-989898,-989898,-989898,-989898,-989898,-989898,13552,11990,15318,-989898,-989898,-989898,-989898,-989898,-989898,CTC_20250714,20251112
Central Coast,Chinook,1985,26444,12260,-26.2,-989898,-989898,-989898,-989898,-989898,-989898,13706,12177,15427,-989898,-989898,-989898,-989898,-989898,-989898,CTC_20250714,20251112
