region,species_name,type,current_status,short_trend,short_trend_cat,long_trend,long_trend_cat,current_abundance,current_abundance_year,average_abundance,previous_gen_abundance,gen_length,nyears,rangeyears,datasetversion
Central Coast,Chinook,Spawners,0.100098326,0.026279449,arrows-left-right,0.011322482,arrow-up,18278,2024,16615,21910,5,50,1975-2024,20251112
Central Coast,Chinook,Run Size,-989898,-989898,-989898,-989898,-989898,-989898,-989898,-989898,-989898,5,-989898,-989898,20251112
Central Coast,Chum,Spawners,-0.573273229,-0.086138825,arrow-down,-0.006748188,arrow-down,210944,2023,494330,343675,4,74,1950-2023,20251112
Central Coast,Chum,Run Size,-989898,-989898,-989898,-989898,-989898,-989898,-989898,-989898,-989898,4,-989898,-989898,20251112
Central Coast,Coho,Spawners,-0.17943705,-0.05766602,arrow-down,-0.004229975,arrow-down,135175,2023,164734,124641,4,74,1950-2023,20251112
Central Coast,Coho,Run Size,-989898,-989898,-989898,-989898,-989898,-989898,-989898,-989898,-989898,4,-989898,-989898,20251112
Central Coast,Pink,Spawners,-0.242314881,0.17407337,arrows-left-right,0.005954693,arrow-up,1628315,2023,2149065,3333341,2,74,1950-2023,20251112
Central Coast,Pink,Run Size,-989898,-989898,-989898,-989898,-989898,-989898,-989898,-989898,-989898,2,-989898,-989898,20251112
Central Coast,Sockeye,Spawners,-0.440974029,0.024575686,arrows-left-right,-0.01638583,arrow-down,226513,2023,405193,330711,5,74,1950-2023,20251112
Central Coast,Sockeye,Run Size,-989898,-989898,-989898,-989898,-989898,-989898,-989898,-989898,-989898,5,-989898,-989898,20251112
Central Coast,Steelhead,Spawners,-989898,-989898,-989898,-989898,-989898,-989898,-989898,-989898,-989898,-989898,-989898,-989898,20251112
Central Coast,Steelhead,Run Size,-989898,-989898,-989898,-989898,-989898,-989898,-989898,-989898,-989898,-989898,-989898,-989898,20251112
Columbia,Chinook,Spawners,-999999,0.109098673,arrow-up,0.06512179,arrow-up,33,2023,23,37,5,18,2006-2023,20251112
Columbia,Chinook,Run Size,-989898,-989898,-989898,-989898,-989898,-989898,-989898,-989898,-989898,5,-989898,-989898,20251112
Columbia,Sockeye,Spawners,1.868723386,-0.033923905,arrow-down,0.024763442,arrow-up,64656,2024,22538,44982,4,64,1961-2024,20251112
Columbia,Sockeye,Run Size,2.978908431,-0.055080247,arrows-left-right,0.04782719,arrow-up,267956,2023,67344,110511,4,44,1980-2023,20251112
Columbia,Steelhead,Spawners,-999999,-0.138273021,arrow-down,-0.129759931,arrow-down,7,2024,21,20,5,19,2006-2024,20251112
Columbia,Steelhead,Run Size,-989898,-989898,-989898,-989898,-989898,-989898,-989898,-989898,-989898,5,-989898,-989898,20251112
East Vancouver Island & Mainland Inlets,Chinook,Spawners,2.362126943,0.134223093,arrow-up,0.011395954,arrows-left-right,26382,2024,7847,16960,4,46,1979-2024,20251112
East Vancouver Island & Mainland Inlets,Chinook,Run Size,2.14511213,0.129389616,arrow-up,0.01497153,arrow-up,30119,2024,9577,19200,4,50,1975-2024,20251112
East Vancouver Island & Mainland Inlets,Chum,Spawners,-0.57705065,-0.099801004,arrow-down,0.00647636,arrow-up,345309,2023,816432,905331,4,71,1953-2023,20251112
