DATE,WATER_TEMP_C,N_READINGS
1968-09-11,17.8,1
1968-10-18,12.2,1
1968-11-18,6.7,1
1969-02-07,2.2,1
1969-03-08,3.3,1
1969-05-09,11.1,1
1969-07-17,22.2,1
1969-09-11,20.0,1
1969-11-07,10.0,1
1970-03-17,5.6,1
1970-06-27,17.2,1
1970-09-25,15.6,1
1970-10-29,11.1,1
1970-12-23,6.0,1
1971-05-10,11.0,1
1971-07-07,13.0,1
1972-06-22,15.0,1
1973-01-23,5.375,4
1975-04-23,8.0,1
1975-05-14,11.0,1
1976-11-23,8.8,3
1977-04-13,10.133,3
1981-10-13,11.9,2
1982-04-29,9.0,2
1982-10-06,13.0,2
1983-03-21,7.5,2
1983-09-26,14.75,2
1984-03-28,8.5,2
1984-08-29,16.75,2
1988-07-06,15.0,1
1988-07-12,16.0,2
1988-08-03,21.0,1
1989-07-04,17.0,2
1989-08-23,18.033,6
1989-08-29,20.35,2
1989-09-06,16.15,2
1989-10-03,11.0,2
1989-10-31,8.933,3
1989-12-06,7.733,3
1990-01-10,6.06,5
1990-01-31,4.0,5
1990-06-05,14.0,5
1990-06-26,16.75,2
1990-08-01,20.1,4
1990-08-11,18.2,1
1990-08-15,20.3,5
1990-09-05,17.52,5
1990-09-11,19.42,5
1991-07-22,20.633,3
1991-07-29,19.9,2
1991-08-07,20.0,2
1991-08-15,22.0,2
1991-08-22,21.75,2
1992-07-27,21.25,4
1992-07-31,21.5,1
1992-08-04,20.88,5
1992-08-11,20.6,5
1992-08-18,20.56,5
1993-05-04,11.6,5
1993-07-05,18.28,10
1993-07-27,12.038,13
1993-08-04,22.725,4
1993-08-10,19.8,3
1993-08-11,22.2,1
1993-08-16,20.825,4
1993-08-24,19.1,4
1993-08-31,19.55,4
1994-05-10,13.9,4
1994-05-12,15.35,2
1994-06-01,14.0,6
1994-06-28,15.45,2
1994-07-06,17.45,4
1994-07-27,22.533,6
1994-08-02,23.233,6
1994-08-25,18.583,6
1994-09-08,17.75,6
1994-10-05,18.267,6
1994-10-31,12.883,6
1995-10-04,16.1,3
1995-11-16,9.233,3
2000-01-05,6.0,1
2000-01-20,3.0,2
2000-02-03,4.0,1
2000-02-17,5.0,1
2000-03-02,5.0,1
2000-03-16,7.0,1
2000-03-30,8.0,2
2000-04-13,10.0,1
2000-04-27,9.0,1
2000-05-11,12.0,1
2000-05-25,13.0,1
2000-06-08,13.0,2
2000-06-22,17.0,1
2000-07-06,14.0,1
2000-07-27,18.0,1
2000-08-17,18.5,1
2000-09-07,16.0,1
2000-09-19,17.0,2
2000-09-27,16.0,1
2000-10-04,13.0,1
2000-10-11,12.5,1
2000-10-18,12.5,1
2000-11-01,12.0,1
2000-11-16,8.0,1
2000-11-21,8.5,1
2000-11-29,5.0,1
2000-12-06,6.5,1
2000-12-14,5.0,1
2000-12-28,5.0,1
2001-01-11,4.0,1
2001-01-25,5.0,1
2001-02-06,5.0,1
2001-02-21,4.5,1
2001-03-08,7.0,3
2001-03-22,6.0,1
2001-04-05,7.5,1
2001-04-19,9.0,1
2001-05-02,10.0,1
2001-05-16,11.0,1
2001-05-31,15.0,1
2001-06-14,15.0,1
2001-06-28,15.0,1
2001-07-11,21.0,1
2001-07-26,21.0,3
2001-08-09,20.0,1
2001-08-16,21.0,1
2001-08-23,15.5,1
2001-08-30,19.5,1
2001-09-06,16.0,1
2001-09-20,13.0,1
