DATE,WATER_TEMP_C,N_READINGS
1991-05-14,9.0,1
2004-10-29,9.8,1
2011-08-16,16.7,1
2011-08-23,17.7,1
2011-08-31,15.6,1
2011-09-06,16.8,1
2011-09-13,16.4,1
2011-10-18,10.6,1
2011-10-25,9.3,1
2011-11-01,8.1,1
2011-11-08,8.2,1
2011-11-15,6.6,1
2012-08-14,18.55,2
2012-08-21,18.25,2
2012-08-28,16.05,2
2012-09-04,15.35,2
2012-09-11,13.95,2
2012-10-16,12.3,2
2012-10-23,10.75,2
2012-10-30,10.1,2
2012-11-06,10.0,2
2012-11-13,8.6,2
2014-08-12,19.267,3
2014-08-19,18.7,3
2014-08-26,18.4,3
2014-09-02,16.733,3
2014-09-09,15.9,3
2014-10-14,12.5,3
2014-10-21,13.133,3
2014-10-28,11.167,3
2014-11-04,10.967,3
2014-11-12,8.067,3
2015-08-04,17.8,3
2015-08-11,17.933,3
2015-08-18,17.833,3
2015-08-25,16.333,3
2015-09-01,15.267,3
2015-09-11,10.0,2
2015-10-07,14.2,1
2015-10-13,12.967,3
2015-10-20,12.067,3
2015-10-27,12.1,3
2015-11-03,10.767,3
2015-11-10,9.6,3
2016-08-02,17.25,2
2016-08-09,14.725,4
2016-08-10,11.1,1
2016-08-16,18.35,2
2016-08-23,17.1,2
2016-08-30,17.8,2
2016-10-04,12.9,2
2016-10-11,11.5,2
2016-10-18,11.65,2
2016-10-25,10.2,2
2016-11-01,9.95,2
2016-11-08,10.35,2
2017-08-01,18.05,2
2017-08-08,18.6,2
2017-08-15,17.4,2
2017-08-22,18.9,2
2017-08-29,17.8,2
2017-09-19,14.35,2
2017-10-24,11.5,2
2017-10-31,9.6,2
2017-11-07,7.2,2
2017-11-14,7.3,2
2017-11-21,7.5,2
2018-08-07,19.4,2
2018-08-14,17.95,2
2018-08-21,17.25,2
2018-08-28,16.45,2
2018-09-04,15.15,2
2018-10-09,12.15,2
2018-10-16,10.4,2
2018-10-23,10.8,2
2018-10-30,10.35,2
2018-11-06,10.65,2
2019-08-06,18.1,2
2019-08-13,17.8,2
2019-08-20,17.3,2
2019-08-27,16.6,2
2019-09-03,17.6,2
2019-09-20,16.3,2
2019-10-08,11.7,2
2019-10-15,11.9,2
2019-10-22,11.0,2
2019-10-29,8.95,2
2019-11-05,10.1,2
2020-08-04,18.45,2
2020-08-11,16.2,2
2020-08-18,18.65,2
2020-08-25,16.5,2
2020-09-01,16.7,2
2020-10-13,12.35,2
2020-10-20,11.75,2
2020-10-27,9.75,2
2020-11-03,10.61,2
2020-11-10,8.65,2
2021-08-03,19.2,2
2021-08-10,18.55,2
2021-08-17,17.85,2
2021-08-24,16.4,2
2021-08-31,15.7,2
2021-10-05,12.95,2
2021-10-12,10.87,2
2021-10-19,10.8,2
2021-10-26,9.85,2
2021-11-02,8.6,2
2022-08-16,19.3,2
2022-08-23,19.4,2
2022-08-30,18.55,2
2022-09-06,16.4,2
2022-09-13,16.9,2
2022-10-25,10.5,2
2022-11-01,10.3,2
2022-11-08,8.1,2
2022-11-15,7.5,2
2022-11-22,7.35,2
2023-08-08,19.0,2
2023-08-15,18.75,2
2023-08-22,16.25,2
2023-08-29,17.55,2
2023-09-05,16.1,2
2023-09-26,13.85,2
2023-10-03,12.9,2
2023-10-10,13.85,2
2023-10-17,12.2,2
2023-10-24,11.75,2
2023-10-31,8.7,2
2024-08-06,19.0,2
2024-08-13,18.8,2
2024-08-20,17.6,2
2024-08-27,15.55,2
2024-09-03,17.3,2
2024-10-08,13.6,2
2024-10-15,12.2,2
2024-10-22,11.9,2
2024-10-29,10.0,2
2024-11-05,9.0,2
2025-08-05,17.7,1
2025-08-12,18.8,1
2025-08-19,16.85,2
2025-08-26,17.6,2
2025-09-02,18.1,2
2025-10-14,10.4,2
2025-10-21,10.9,2
2025-10-28,10.8,2
2025-11-04,9.85,2
2025-11-12,9.1,2
