DATE,WATER_TEMP_C,N_READINGS
1990-04-19,6.25,4
1990-05-03,9.75,4
1990-09-06,17.025,4
1990-09-27,12.175,4
1991-07-29,17.0,5
1991-11-07,7.0,3
1991-11-08,7.4,2
1991-11-14,6.14,5
1991-11-21,6.95,4
1991-11-22,7.2,1
1991-11-27,6.66,5
1991-12-10,6.12,5
1994-05-05,12.0,1
1994-05-12,13.0,1
1994-05-26,16.8,1
1994-06-09,14.0,1
2011-09-13,15.5,1
2011-09-14,18.4,1
2011-10-15,4.5,2
2011-10-18,8.45,2
2011-10-25,9.45,2
2011-11-01,6.3,2
2011-11-08,5.9,2
2012-08-14,19.8,2
2012-08-21,17.9,2
2012-08-28,16.3,2
2012-09-04,16.8,2
2012-09-11,13.65,2
2012-10-06,12.0,1
2012-10-16,10.0,1
2012-10-23,8.65,2
2012-10-30,8.9,2
2012-11-06,8.85,2
2012-11-13,6.15,2
2014-08-12,22.05,2
2014-08-19,21.25,2
2014-08-26,19.95,2
2014-09-02,17.35,2
2014-09-09,17.85,2
2014-10-14,13.2,2
2014-10-21,12.55,2
2014-10-29,10.1,2
2014-11-04,9.75,2
2014-11-12,6.2,2
2015-08-04,21.65,2
2015-08-11,20.5,2
2015-08-18,20.6,2
2015-08-25,18.75,2
2015-09-01,17.4,2
2015-09-14,10.7,1
2015-10-13,12.65,2
2015-10-20,11.95,2
2015-10-27,11.1,2
2015-11-03,10.05,2
2015-11-10,8.3,2
2016-08-02,20.2,2
2016-08-09,19.3,2
2016-08-16,22.2,2
2016-08-23,19.05,2
2016-08-30,19.25,2
2016-10-11,10.35,2
2016-10-18,9.95,2
2016-10-25,9.5,2
2016-11-01,9.05,2
2016-11-08,9.45,2
2017-08-01,19.65,4
2017-08-08,19.975,4
2017-08-15,18.0,4
2017-08-22,19.125,4
2017-08-29,19.625,4
2017-09-19,10.7,1
2017-10-03,11.0,1
2017-10-19,8.0,1
2017-10-24,9.6,4
2017-10-31,7.375,4
2017-11-07,3.575,4
2017-11-14,7.275,4
2017-11-21,6.325,4
2018-08-07,20.125,4
2018-08-14,18.55,4
2018-08-21,17.6,4
2018-08-28,16.975,4
2018-09-04,15.375,4
2018-09-11,15.0,3
2018-09-17,11.3,1
2018-10-02,12.55,4
2018-10-09,11.175,4
2018-10-16,8.668,4
2018-10-23,8.15,4
2018-10-30,9.175,4
2018-11-06,8.95,4
2019-08-06,20.36,5
2019-08-13,18.54,5
2019-08-20,17.025,4
2019-08-27,17.6,4
2019-09-03,18.075,4
2019-09-13,13.9,1
2019-09-17,13.75,2
2019-09-18,15.65,2
2019-09-24,13.7,1
2019-10-01,9.3,1
2019-10-08,10.625,4
2019-10-15,9.275,4
2019-10-22,9.4,4
2019-10-29,7.867,3
2019-11-05,8.267,3
2020-08-04,20.2,3
2020-08-11,18.433,3
2020-08-18,20.6,3
2020-08-25,17.8,3
2020-08-31,18.367,3
2020-09-01,17.133,3
2020-09-23,15.95,2
2020-09-24,15.6,1
2020-10-13,11.8,3
2020-10-20,10.333,3
2020-10-27,7.967,3
2020-11-03,9.033,3
2020-11-10,6.5,3
2021-08-03,24.05,2
2021-08-10,20.95,2
2021-08-17,20.85,2
2021-08-24,18.6,2
2021-08-31,17.4,2
2021-10-05,11.7,2
2021-10-12,9.05,2
2021-10-19,9.1,2
2021-10-26,9.2,2
2021-11-02,7.6,2
2022-08-16,21.25,2
2022-08-23,21.55,2
2022-08-30,20.4,2
2022-09-06,18.0,2
2022-09-13,17.7,2
2022-10-25,10.35,2
2022-11-01,9.85,2
2022-11-08,6.8,2
2022-11-15,5.25,2
2022-11-22,4.9,2
2023-08-08,21.85,2
2023-08-15,22.15,2
2023-08-22,18.4,2
2023-08-29,19.0,2
2023-09-05,17.5,2
2023-10-03,12.65,2
2023-10-10,13.35,2
2023-10-17,11.4,2
2023-10-24,9.8,2
2023-10-31,6.05,2
2024-08-06,22.4,2
2024-08-13,20.8,2
2024-08-20,18.85,2
2024-08-27,17.5,2
2024-09-03,19.45,2
2024-10-08,13.1,2
2024-10-13,12.2,1
2024-10-15,12.5,1
2024-10-22,10.55,2
2024-10-29,8.95,2
2024-11-05,7.95,2
2024-11-27,24.1,3
2024-12-02,24.2,3
2024-12-03,23.75,4
2024-12-04,24.3,3
2024-12-05,24.25,4
2025-08-05,20.95,2
2025-08-12,22.45,2
2025-08-19,19.5,2
2025-08-26,20.65,2
2025-09-02,19.8,2
2025-10-14,8.95,2
2025-10-21,10.0,2
2025-10-28,9.1,2
2025-11-04,8.05,2
2025-11-12,7.7,2
