"","stream","year","date","doy","days_at_risk","arrived","flow","flow_7d","flow_14d","flow_30d","flow_delta_14d","flow_cum_since_start","days_since_high_flow","jan_jun_mean_flow","n_missing_flow"
"1","COWICHAN RIVER",2002,2002-07-17,198,1,0,6.02,6.88571428570763,8.03285714285448,10.3706666666665,-1.14714285714685,6.02,87,67.1997790055249,0
"2","COWICHAN RIVER",2002,2002-07-18,199,2,0,5.99,6.60571428571296,7.71071428571096,10.0103333333313,-1.104999999998,12.01,88,67.1997790055249,0
"3","COWICHAN RIVER",2002,2002-07-19,200,3,0,6.14,6.41857142856212,7.43499999999767,9.68499999999767,-1.01642857143556,18.15,89,67.1997790055249,0
"4","COWICHAN RIVER",2002,2002-07-20,201,4,0,5.88,6.2714285714319,7.19428571428372,9.40100000000093,-0.922857142851821,24.03,90,67.1997790055249,0
"5","COWICHAN RIVER",2002,2002-07-21,202,5,0,5.66,6.08714285714086,6.98642857143256,9.13966666666868,-0.899285714291701,29.69,91,67.1997790055249,0
"6","COWICHAN RIVER",2002,2002-07-22,203,6,0,5.53,5.93142857143123,6.72428571428671,8.89066666666962,-0.79285714285548,35.22,92,67.1997790055249,0
"7","COWICHAN RIVER",2002,2002-07-23,204,7,0,5.48,5.81428571429569,6.489999999999,8.656666666669,-0.675714285703309,40.7,93,67.1997790055249,0
"8","COWICHAN RIVER",2002,2002-07-24,205,8,0,5.56,5.7485714285701,6.31714285713887,8.46199999999953,-0.568571428568768,46.26,94,67.1997790055249,0
"9","COWICHAN RIVER",2002,2002-07-25,206,9,0,5.67,5.70285714286313,6.15428571428804,8.30100000000093,-0.451428571424913,51.93,95,67.1997790055249,0
"10","COWICHAN RIVER",2002,2002-07-26,207,10,0,5.7,5.63999999999734,6.02928571427973,8.14766666666449,-0.389285714282389,57.63,96,67.1997790055249,0
"11","COWICHAN RIVER",2002,2002-07-27,208,11,0,5.89,5.64142857142724,5.95642857142957,8.01199999999954,-0.315000000002328,63.52,97,67.1997790055249,0
"12","COWICHAN RIVER",2002,2002-07-28,209,12,0,5.78,5.65857142856943,5.87285714285515,7.86133333333225,-0.214285714285714,69.3,98,67.1997790055249,0
"13","COWICHAN RIVER",2002,2002-07-29,210,13,0,5.7,5.6828571428445,5.80714285713787,7.63133333333147,-0.124285714293364,75,99,67.1997790055249,0
"14","COWICHAN RIVER",2002,2002-07-30,211,14,0,5.66,5.70857142856611,5.7614285714309,7.38999999999845,-0.0528571428647924,80.66,100,67.1997790055249,0
"15","COWICHAN RIVER",2002,2002-07-31,212,15,0,5.76,5.73714285714751,5.74285714285881,7.17200000000109,-0.00571428571129218,86.42,101,67.1997790055249,0
"16","COWICHAN RIVER",2002,2002-08-01,213,16,0,5.73,5.74571428571029,5.72428571428671,6.97966666666713,0.0214285714235816,92.15,102,67.1997790055249,0
"17","COWICHAN RIVER",2002,2002-08-02,214,17,0,5.54,5.72285714286513,5.68142857143123,6.80433333333349,0.0414285714338929,97.69,103,67.1997790055249,0
"18","COWICHAN RIVER",2002,2002-08-03,215,18,0,6.02,5.74142857143722,5.69142857143223,6.65500000000078,0.0500000000049887,103.71,104,67.1997790055249,0
"19","COWICHAN RIVER",2002,2002-08-04,216,19,0,6.17,5.79714285713687,5.72785714285315,6.52733333333163,0.0692857142837182,109.88,105,67.1997790055249,0
"20","COWICHAN RIVER",2002,2002-08-05,217,20,0,6.21,5.87000000001197,5.77642857142824,6.42600000000093,0.0935714285837355,116.09,106,67.1997790055249,0
"21","COWICHAN RIVER",2002,2002-08-06,218,21,0,6.11,5.93428571429104,5.82142857142857,6.34400000000217,0.112857142862465,122.2,107,67.1997790055249,0
"22","COWICHAN RIVER",2002,2002-08-07,219,22,0,5.87,5.95000000000333,5.84357142857542,6.23299999999969,0.106428571427906,128.07,108,67.1997790055249,0
"23","COWICHAN RIVER",2002,2002-08-08,220,23,0,5.68,5.94285714285382,5.84428571428206,6.13033333333054,0.0985714285717609,133.75,109,67.1997790055249,0
"24","COWICHAN RIVER",2002,2002-08-09,221,24,0,5.67,5.96142857142591,5.84214285714552,6.05333333333256,0.119285714280393,139.42,110,67.1997790055249,0
"25","COWICHAN RIVER",2002,2002-08-10,222,25,0,6.02,5.96142857142591,5.85142857143156,5.9890000000014,0.109999999994346,145.44,111,67.1997790055249,0
"26","COWICHAN RIVER",2002,2002-08-11,223,26,0,5.87,5.91857142857875,5.85785714285781,5.93633333333225,0.0607142857209375,151.31,112,67.1997790055249,0
"27","COWICHAN RIVER",2002,2002-08-12,224,27,0,5.76,5.85428571428305,5.86214285714751,5.89800000000202,-0.00785714286446026,157.07,113,67.1997790055249,0
"28","COWICHAN RIVER",2002,2002-08-13,225,28,0,5.81,5.81142857141926,5.87285714285515,5.85999999999767,-0.0614285714358891,162.88,114,67.1997790055249,0
"29","COWICHAN RIVER",2002,2002-08-14,226,29,0,6.1,5.84428571429037,5.89714285714685,5.8426666666676,-0.0528571428564772,168.98,115,67.1997790055249,0
"30","COWICHAN RIVER",2002,2002-08-15,227,30,0,5.95,5.88285714286446,5.91285714285914,5.83100000000171,-0.0299999999946783,174.93,116,67.1997790055249,0
"31","COWICHAN RIVER",2002,2002-08-16,228,31,0,5.85,5.90857142856943,5.93499999999767,5.82533333333364,-0.0264285714282391,180.78,117,67.1997790055249,0
"32","COWICHAN RIVER",2002,2002-08-17,229,32,0,5.8,5.87714285714485,5.91928571428538,5.81900000000217,-0.0421428571405285,186.58,118,67.1997790055249,0
"33","COWICHAN RIVER",2002,2002-08-18,230,33,0,6.1,5.90999999999933,5.91428571428904,5.8176666666676,-0.00428571428970592,192.68,119,67.1997790055249,0
"34","COWICHAN RIVER",2002,2002-08-19,231,34,0,6.05,5.95142857143323,5.90285714285814,5.82333333333566,0.0485714285750873,198.73,120,67.1997790055249,0
"35","COWICHAN RIVER",2002,2002-08-20,232,35,0,5.95,5.97142857143522,5.89142857142724,5.83299999999969,0.080000000007983,204.68,121,67.1997790055249,0
"36","COWICHAN RIVER",2002,2002-08-21,233,36,0,5.9,5.94285714285382,5.89357142857209,5.84533333333287,0.0492857142817229,210.58,122,67.1997790055249,0
