sys_nm,species,cuid,cunamepse,region,GFE_ID,streamid,lat,lon
ALASTAIR LAKE,Lake sockeye,171,Alastair,Skeena,461.0,6494,54.12901782,-129.1878075
ALASTAIR LAKE,Coho,202,Lower Skeena,Skeena,461.0,3212,54.12901782,-129.1878075
ALICE CREEK,Coho,202,Lower Skeena,Skeena,2344.0,2829,54.6852329,-128.7659019
ALPHA CREEK,Chum,220,Skeena Estuary,Skeena,1932.0,661,53.86273753,-130.2793322
ALPHA CREEK,Pink (even),219,Nass-Skeena Estuary (even),Skeena,1932.0,4281,53.86273753,-130.2793322
ALPHA CREEK,Pink (odd),223,Nass-Skeena Estuary (odd),Skeena,1932.0,5166,53.86273753,-130.2793322
ALWYN CREEK,Coho,202,Lower Skeena,Skeena,472.0,3220,54.46472176,-128.7407099
ALWYN CREEK,Chinook,210,Lower Skeena,Skeena,472.0,1855,54.46472176,-128.7407099
AMERICAN BAY CREEK,Pink (even),219,Nass-Skeena Estuary (even),Skeena,357.0,4329,54.6018651,-130.7533016
AMERICAN BAY CREEK,Coho,225,Skeena Estuary,Skeena,357.0,2878,54.6018651,-130.7533016
ANDALAS CREEK,Coho,202,Lower Skeena,Skeena,509.0,3082,54.34943745,-128.5919119
ANDALAS CREEK,Lake sockeye,177,Lakelse,Skeena,509.0,6433,54.34943745,-128.5919119
ANDESITE CREEK,Pink (even),219,Nass-Skeena Estuary (even),Skeena,468.0,4437,54.37907086,-129.1256248
ANDESITE CREEK,Chinook,210,Lower Skeena,Skeena,468.0,1853,54.37907086,-129.1256248
ANDESITE CREEK,Pink (odd),209,Lower Skeena River (odd),Skeena,468.0,5413,54.37907086,-129.1256248
ANDESITE CREEK,Chum,211,Lower Skeena,Skeena,468.0,895,54.37907086,-129.1256248
ANSEDAGAN CREEK,Pink (even),219,Nass-Skeena Estuary (even),Skeena,643.0,4398,55.14024066,-129.3630428
ASITKA RIVER,Coho,231,Upper Skeena,Skeena,625.0,3156,56.39390601,-126.7896884
ASITKA RIVER,Lake sockeye,190,Asitika,Skeena,625.0,6469,56.39390601,-126.7896884
ASITKA RIVER,Chinook,212,Upper Skeena,Skeena,625.0,1816,56.39390601,-126.7896884
ATNA RIVER,Lake sockeye,185,Morice/Atna,Skeena,7990596.0,6516,54.01719337,-127.7591331
AZUKLOTZ CREEK,Coho,231,Upper Skeena,Skeena,624.0,3155,56.09783052,-126.7554938
AZUKLOTZ CREEK,Lake sockeye,191,Azuklotz,Skeena,624.0,6468,56.09783052,-126.7554938
BABINE LAKE,Pink (even),218,Middle-Upper Skeena (even),Skeena,2107.0,10423,55.27790244,-126.6063978
BABINE LAKE,Coho,215,Middle Skeena,Skeena,2107.0,2869,55.27790244,-126.6063978
