region,species_name,species_qualified,cuid,cu_name_pse,pointid,streamid,stream_name_pse,indicator,latitude,longitude,year,stream_observed_count,stream_survey_method,stream_survey_quality,source_id
East Vancouver Island & Mainland Inlets,Chinook,CK,320,Southern Mainland-Georgia Strait (Fall x-1),297,1858,ROBERTS CREEK,N,49.41940439,-123.6418243,1953,-989898,Not Applicable,Unknown,NuSEDS_20251103
East Vancouver Island & Mainland Inlets,Chinook,CK,320,Southern Mainland-Georgia Strait (Fall x-1),297,1858,ROBERTS CREEK,N,49.41940439,-123.6418243,1954,-989898,Not Applicable,Unknown,NuSEDS_20251103
East Vancouver Island & Mainland Inlets,Chinook,CK,320,Southern Mainland-Georgia Strait (Fall x-1),297,1858,ROBERTS CREEK,N,49.41940439,-123.6418243,1955,-989898,Not Applicable,Unknown,NuSEDS_20251103
East Vancouver Island & Mainland Inlets,Chinook,CK,320,Southern Mainland-Georgia Strait (Fall x-1),297,1858,ROBERTS CREEK,N,49.41940439,-123.6418243,1956,-989898,Not Applicable,Unknown,NuSEDS_20251103
East Vancouver Island & Mainland Inlets,Chinook,CK,320,Southern Mainland-Georgia Strait (Fall x-1),297,1858,ROBERTS CREEK,N,49.41940439,-123.6418243,1957,-989898,Not Applicable,Unknown,NuSEDS_20251103
East Vancouver Island & Mainland Inlets,Chinook,CK,320,Southern Mainland-Georgia Strait (Fall x-1),297,1858,ROBERTS CREEK,N,49.41940439,-123.6418243,1958,-989898,Not Applicable,Unknown,NuSEDS_20251103
East Vancouver Island & Mainland Inlets,Chinook,CK,320,Southern Mainland-Georgia Strait (Fall x-1),297,1858,ROBERTS CREEK,N,49.41940439,-123.6418243,1959,-989898,Not Applicable,Unknown,NuSEDS_20251103
East Vancouver Island & Mainland Inlets,Chinook,CK,320,Southern Mainland-Georgia Strait (Fall x-1),297,1858,ROBERTS CREEK,N,49.41940439,-123.6418243,1960,-989898,Not Applicable,Unknown,NuSEDS_20251103
East Vancouver Island & Mainland Inlets,Chinook,CK,320,Southern Mainland-Georgia Strait (Fall x-1),297,1858,ROBERTS CREEK,N,49.41940439,-123.6418243,1961,-989898,Not Applicable,Unknown,NuSEDS_20251103
East Vancouver Island & Mainland Inlets,Chinook,CK,320,Southern Mainland-Georgia Strait (Fall x-1),297,1858,ROBERTS CREEK,N,49.41940439,-123.6418243,1962,-989898,Not Applicable,Unknown,NuSEDS_20251103
East Vancouver Island & Mainland Inlets,Chinook,CK,320,Southern Mainland-Georgia Strait (Fall x-1),297,1858,ROBERTS CREEK,N,49.41940439,-123.6418243,1963,-989898,Not Applicable,Unknown,NuSEDS_20251103
East Vancouver Island & Mainland Inlets,Chinook,CK,320,Southern Mainland-Georgia Strait (Fall x-1),297,1858,ROBERTS CREEK,N,49.41940439,-123.6418243,1964,-989898,Not Applicable,Unknown,NuSEDS_20251103
East Vancouver Island & Mainland Inlets,Chinook,CK,320,Southern Mainland-Georgia Strait (Fall x-1),297,1858,ROBERTS CREEK,N,49.41940439,-123.6418243,1991,-989898,Not Applicable,Unknown,NuSEDS_20251103
East Vancouver Island & Mainland Inlets,Chinook,CK,320,Southern Mainland-Georgia Strait (Fall x-1),297,1858,ROBERTS CREEK,N,49.41940439,-123.6418243,1992,-989898,Not Applicable,Unknown,NuSEDS_20251103
East Vancouver Island & Mainland Inlets,Chinook,CK,320,Southern Mainland-Georgia Strait (Fall x-1),297,1858,ROBERTS CREEK,N,49.41940439,-123.6418243,1995,-989898,Not Applicable,Unknown,NuSEDS_20251103
East Vancouver Island & Mainland Inlets,Chinook,CK,320,Southern Mainland-Georgia Strait (Fall x-1),297,1858,ROBERTS CREEK,N,49.41940439,-123.6418243,1996,-989898,Not Applicable,Unknown,NuSEDS_20251103
East Vancouver Island & Mainland Inlets,Chinook,CK,320,Southern Mainland-Georgia Strait (Fall x-1),297,1858,ROBERTS CREEK,N,49.41940439,-123.6418243,1997,-989898,Not Applicable,Unknown,NuSEDS_20251103
East Vancouver Island & Mainland Inlets,Chinook,CK,320,Southern Mainland-Georgia Strait (Fall x-1),297,1858,ROBERTS CREEK,N,49.41940439,-123.6418243,1998,-989898,Not Applicable,Unknown,NuSEDS_20251103
East Vancouver Island & Mainland Inlets,Chinook,CK,320,Southern Mainland-Georgia Strait (Fall x-1),297,1858,ROBERTS CREEK,N,49.41940439,-123.6418243,1999,-989898,Not Applicable,Unknown,NuSEDS_20251103
East Vancouver Island & Mainland Inlets,Chinook,CK,320,Southern Mainland-Georgia Strait (Fall x-1),297,1858,ROBERTS CREEK,N,49.41940439,-123.6418243,2000,1,Not Applicable,Unknown,NuSEDS_20251103
East Vancouver Island & Mainland Inlets,Chinook,CK,320,Southern Mainland-Georgia Strait (Fall x-1),297,1858,ROBERTS CREEK,N,49.41940439,-123.6418243,2001,-989898,Not Applicable,Unknown,NuSEDS_20251103
East Vancouver Island & Mainland Inlets,Chinook,CK,320,Southern Mainland-Georgia Strait (Fall x-1),297,1858,ROBERTS CREEK,N,49.41940439,-123.6418243,2002,-989898,Not Applicable,Unknown,NuSEDS_20251103
East Vancouver Island & Mainland Inlets,Chinook,CK,320,Southern Mainland-Georgia Strait (Fall x-1),298,1859,WILSON CREEK,N,49.43848024,-123.7098832,1953,-989898,Not Applicable,Unknown,NuSEDS_20251103
East Vancouver Island & Mainland Inlets,Chinook,CK,320,Southern Mainland-Georgia Strait (Fall x-1),298,1859,WILSON CREEK,N,49.43848024,-123.7098832,1954,-989898,Not Applicable,Unknown,NuSEDS_20251103
East Vancouver Island & Mainland Inlets,Chinook,CK,320,Southern Mainland-Georgia Strait (Fall x-1),298,1859,WILSON CREEK,N,49.43848024,-123.7098832,1955,-989898,Not Applicable,Unknown,NuSEDS_20251103
East Vancouver Island & Mainland Inlets,Chinook,CK,320,Southern Mainland-Georgia Strait (Fall x-1),298,1859,WILSON CREEK,N,49.43848024,-123.7098832,1956,-989898,Not Applicable,Unknown,NuSEDS_20251103
East Vancouver Island & Mainland Inlets,Chinook,CK,320,Southern Mainland-Georgia Strait (Fall x-1),298,1859,WILSON CREEK,N,49.43848024,-123.7098832,1957,-989898,Not Applicable,Unknown,NuSEDS_20251103
East Vancouver Island & Mainland Inlets,Chinook,CK,320,Southern Mainland-Georgia Strait (Fall x-1),298,1859,WILSON CREEK,N,49.43848024,-123.7098832,1958,-989898,Not Applicable,Unknown,NuSEDS_20251103
East Vancouver Island & Mainland Inlets,Chinook,CK,320,Southern Mainland-Georgia Strait (Fall x-1),298,1859,WILSON CREEK,N,49.43848024,-123.7098832,1959,-989898,Not Applicable,Unknown,NuSEDS_20251103
East Vancouver Island & Mainland Inlets,Chinook,CK,320,Southern Mainland-Georgia Strait (Fall x-1),298,1859,WILSON CREEK,N,49.43848024,-123.7098832,1960,-989898,Not Applicable,Unknown,NuSEDS_20251103
East Vancouver Island & Mainland Inlets,Chinook,CK,320,Southern Mainland-Georgia Strait (Fall x-1),298,1859,WILSON CREEK,N,49.43848024,-123.7098832,1961,-989898,Not Applicable,Unknown,NuSEDS_20251103
East Vancouver Island & Mainland Inlets,Chinook,CK,320,Southern Mainland-Georgia Strait (Fall x-1),298,1859,WILSON CREEK,N,49.43848024,-123.7098832,1962,-989898,Not Applicable,Unknown,NuSEDS_20251103
East Vancouver Island & Mainland Inlets,Chinook,CK,320,Southern Mainland-Georgia Strait (Fall x-1),298,1859,WILSON CREEK,N,49.43848024,-123.7098832,1963,-989898,Not Applicable,Unknown,NuSEDS_20251103
East Vancouver Island & Mainland Inlets,Chinook,CK,320,Southern Mainland-Georgia Strait (Fall x-1),298,1859,WILSON CREEK,N,49.43848024,-123.7098832,1964,-989898,Not Applicable,Unknown,NuSEDS_20251103
East Vancouver Island & Mainland Inlets,Chinook,CK,320,Southern Mainland-Georgia Strait (Fall x-1),298,1859,WILSON CREEK,N,49.43848024,-123.7098832,1965,-989898,Not Applicable,Unknown,NuSEDS_20251103
East Vancouver Island & Mainland Inlets,Chinook,CK,320,Southern Mainland-Georgia Strait (Fall x-1),298,1859,WILSON CREEK,N,49.43848024,-123.7098832,1966,-989898,Not Applicable,Unknown,NuSEDS_20251103
East Vancouver Island & Mainland Inlets,Chinook,CK,320,Southern Mainland-Georgia Strait (Fall x-1),298,1859,WILSON CREEK,N,49.43848024,-123.7098832,1967,-989898,Not Applicable,Unknown,NuSEDS_20251103
East Vancouver Island & Mainland Inlets,Chinook,CK,320,Southern Mainland-Georgia Strait (Fall x-1),298,1859,WILSON CREEK,N,49.43848024,-123.7098832,1968,-989898,Not Applicable,Unknown,NuSEDS_20251103
